,IPnum,IPval,slope,PDS_edf,PDS_F,PDS_p,PDS_pFDR
AUD,1,2.17,-0.430282032191424,1.93056173846502,1.8172710225608,0.155930441234879,0.509015705351067
CBL,0,0,-0.0809143970342133,1.000000000479,1.16084113199828,0.283241386199546,0.63087860769855
CON,0,0,0.0501941857826634,1.000000000479,0.444395936968874,0.506163065162506,0.816276242201825
DMN,1,2.47,-0.111373239720171,1.00000000044811,0.0172446012693187,0.895722172356491,0.903515757045553
DAN,1,2.19,-0.218486882933704,1.00000000040668,0.0147509389251076,0.903515757045553,0.903515757045553
FPN,1,1.75,-0.323156609877518,1.000000000479,3.20571218051512,0.0756563294996483,0.491766141747714
MEM,0,0,-0.10618545980322,1.00000000044244,2.02943272168918,0.156620217031098,0.509015705351067
SAL,0,0,0.0671977441471562,1.00000000046472,0.816074389730623,0.367963648051599,0.683361060667254
SMH,0,0,0.0151543792286025,1.00000000039152,0.0412079969915772,0.839447208087461,0.903515757045553
SMM,1,2.31,0.318947312397395,1.000000000479,0.260164735167356,0.610852436025578,0.816276242201825
SUB,0,0,0.0365739045716398,1.00000000046399,0.236006544656652,0.627904801693711,0.816276242201825
VAN,0,0,-0.0767334296751341,1.000000000479,1.12308976294684,0.291174742014715,0.63087860769855
VIS,0,0,0.148845829197998,1.000000000479,4.00919317532156,0.0472861921511047,0.491766141747714
